level|code|programme|sub_programme|budget_2023_zmw|budget_2024_zmw|budget_2025_zmw
1|1|Constituency Development||30635642.0||36058150.0
2|779|Constituency Development|Community Projects||17462316.0|21962691.0
2|780|Constituency Development|Women and Youth Empowerment||5820772.0|6228226.0
2|781|Constituency Development|CDF Administration||1531782.0|1639007.0
2|782|Constituency Development|Secondary School and Skills Development Bursaries||5820772.0|6228226.0
1|2|Local Governance||10157466.0||12077969.0
2|044|Local Governance|Legislative Function||3525996.0|3680291.0
2|045|Local Governance|Citizen Engagement||1568789.0|1435176.0
1|3|Integrated Development Planning||9142856.0||5339802.0
2|006|Integrated Development Planning|Environmental planning||216646.0|229685.0
2|021|Integrated Development Planning|Spatial Planning||2646189.0|3676156.0
2|033|Integrated Development Planning|Socio Economic planning||6280021.0|1433961.0
1|4|Economic and business development||2826020.0||2565410.0
2|038|Economic and business development|Trade facilitation and Licensing||2826020.0|2565410.0
1|5|Public health and Environmental protection||18926013.0||17345043.0
2|015|Public health and Environmental protection|Cemetery and funeral services||1111494.0|872454.0
2|019|Public health and Environmental protection|Health Inspections||5616001.0|4390214.0
2|023|Public health and Environmental protection|Pest control||319211.0|386376.0
2|024|Public health and Environmental protection|Pollution control|||302811.0
2|027|Public health and Environmental protection|Solid Waste Management||10653242.0|10337095.0
2|030|Public health and Environmental protection|Stormy water management||222150.0|146450.0
2|034|Public health and Environmental protection|Water supply and Sanitation Services||1003916.0|909643.0
1|6|Housing and Community Amenities||16833565.0||34266632.0
2|007|Housing and Community Amenities|Parks and Gardens||932268.0|1178063.0
2|012|Housing and Community Amenities|Markets and Bus Stations||1577776.0|4286384.0
2|026|Housing and Community Amenities|Public Housing||6149611.0|19956900.0
2|029|Housing and Community Amenities|Roads and Drainages||5999593.0|5642230.0
2|031|Housing and Community Amenities|Street Lighting||2174318.0|3203055.0
1|7|Recreation Culture and Religion||1508983.0||4274621.0
2|001|Recreation Culture and Religion|Cultural Affairs|||
2|042|Recreation Culture and Religion|Sports Promotion||1508983.0|4273759.0
1|8|Education and skills development||1236874.0||2248988.0
2|001|Education and skills development|District archives|||19241.0
2|010|Education and skills development|Adult Literacy||461596.0|1320514.0
2|039|Education and skills development|Library Services||775278.0|909233.0
1|10|Public order and safety||10784546.0||18684734.0
2|014|Public order and safety|Building regulation||1144944.0|1301264.0
2|018|Public order and safety|Community policing||3017199.0|6748872.0
2|041|Public order and safety|Fire protection services||6622403.0|10634598.0
1|11|Management and support Services||32561438.0||60515493.0
2|035|Management and support Services|Financial Management and Accounting||14323010.0|22590616.0
2|036|Management and support Services|Legal Services|||5486654.0
1|12|Resource Mobilisation and Management||6545962.0||13120771.0
2|067|Resource Mobilisation and Management|Revenue Mobilisation and Enhancement||6545962.0|13120771.0
1|13|District Health servcies||1556461.0||1516339.0
2|001|District Health servcies|Primary Health Services||1556461.0|1193993.0
2|002|District Health servcies|District Health Services|||322346.0
1|15|Transport Services||||3200587.0
2|001|Transport Services|Road Transport|||3200587.0
2|071|Transport Services|Agricultural Crop production, Advisory and Technical|||380000.0
2|072|Transport Services|Agribusiness Development and Marketing|||57000.0
2|074|Transport Services|Fisheries and Livestock Marketing|||82500.0
2|075|Transport Services|Animal Health Services||351119.0|100000.0
2|076|Transport Services|Fisheries Production and Productivity Improvement|||90000.0
2|077|Transport Services|Livestock Production and Productivity Improvement|||60000.0
2|078|Transport Services|District Fisheries and Livestock Coordination|||153660.0
1|18|Social Protection and Community Development||||11366156.0
2|079|Social Protection and Community Development|District Social welfare|||11352314.0
2|080|Social Protection and Community Development|Community Development|||13842.0
