level|programme_code|programme|sub_programme|amount_zmw
1|1|CONSTITUENCY DEVELOPMENT FUND||30635642
2|1|CONSTITUENCY DEVELOPMENT FUND|Community Projects|17462316
2|1|CONSTITUENCY DEVELOPMENT FUND|Youth & Women Empowerment|5820772
2|1|CONSTITUENCY DEVELOPMENT FUND|Secondary school boarding & Skill|5820772
2|1|CONSTITUENCY DEVELOPMENT FUND|Administrative Cost|1531782
1|2|LOCAL GOVERNANCE||10157466
2|2|LOCAL GOVERNANCE|Local elections|5062680
2|2|LOCAL GOVERNANCE|Legslative Function|3525996
2|2|LOCAL GOVERNANCE|Citizen Engagement|1568789
1|3|INTEGRATED DEVELOPMENT PLANNING||9142856
2|3|INTEGRATED DEVELOPMENT PLANNING|Social economic planning|6280021
2|3|INTEGRATED DEVELOPMENT PLANNING|Spatial Planning|2646189
2|3|INTEGRATED DEVELOPMENT PLANNING|Environmental Planning|216646
1|4|ECONOMIC AND BUSINESS DEVELOPMENT||2826020
2|4|ECONOMIC AND BUSINESS DEVELOPMENT|Trade Facilitation and Licencing|2826020
1|5|PUBLIC HEALTH AND ENVIRONMENTAL PROTECTION||18926013
2|5|PUBLIC HEALTH AND ENVIRONMENTAL PROTECTION|Health Inspection|5616001
2|5|PUBLIC HEALTH AND ENVIRONMENTAL PROTECTION|Solid waste Management|10573477
2|5|PUBLIC HEALTH AND ENVIRONMENTAL PROTECTION|Pest control|319211
2|5|PUBLIC HEALTH AND ENVIRONMENTAL PROTECTION|Pollution control|79765
2|5|PUBLIC HEALTH AND ENVIRONMENTAL PROTECTION|Water supply and sanitation services|1003916
2|5|PUBLIC HEALTH AND ENVIRONMENTAL PROTECTION|Stormy Water|222150
2|5|PUBLIC HEALTH AND ENVIRONMENTAL PROTECTION|Cemetery and funeral services|1111494
1|6|HOUSING AND COMMUNITY AMENITIES||16833566
2|6|HOUSING AND COMMUNITY AMENITIES|Parks and Gardens|932268
2|6|HOUSING AND COMMUNITY AMENITIES|Markets and bus stations|1577776
2|6|HOUSING AND COMMUNITY AMENITIES|Public Housing|6149611
2|6|HOUSING AND COMMUNITY AMENITIES|Roads and Drainages|5999593
2|6|HOUSING AND COMMUNITY AMENITIES|Street Lightining|2174318
1|7|RECREATION CULTURE AND RELIGION||2284261
2|7|RECREATION CULTURE AND RELIGION|Sports Promotion|1508982
2|7|RECREATION CULTURE AND RELIGION|Library Services|775278
1|8|EDUCATION AND SKILL DEVELOPMENT||461596
2|8|EDUCATION AND SKILL DEVELOPMENT|Adult Literacy|461596
1|10|PUBLIC ORDER AND SAFETY||10784546
2|10|PUBLIC ORDER AND SAFETY|Fire protection services|6622403
2|10|PUBLIC ORDER AND SAFETY|Community policing|3017199
2|10|PUBLIC ORDER AND SAFETY|Building regulation|1144944
1|11|MANAGEMENT AND SUPPORT SERVICES||33710137
2|11|MANAGEMENT AND SUPPORT SERVICES|Human Resource|11220562
2|11|MANAGEMENT AND SUPPORT SERVICES|Internal Auditing|837129
2|11|MANAGEMENT AND SUPPORT SERVICES|Procurement|1175723
2|11|MANAGEMENT AND SUPPORT SERVICES|Executive Management|3441266
2|11|MANAGEMENT AND SUPPORT SERVICES|Financial Management and Accounting|15471709
2|11|MANAGEMENT AND SUPPORT SERVICES|Information Technology|1563748
1|12|RESOURCE MOBILISATION AND MANAGEMENT||6545962
2|12|RESOURCE MOBILISATION AND MANAGEMENT|Revenue Mobilisation and Enhancement|6545962
1|13|DISTRICT HEALTH SERVICES||1538901
2|13|DISTRICT HEALTH SERVICES|Primary Health Services|1538901
1|14|VETERINARY SERVICES||79964
2|14|VETERINARY SERVICES|Animal Extension Services|79964
1|15|COMMUNITY SPORT||258621
2|15|COMMUNITY SPORT|Community Sport|258621
1|16|DISTRICT ARCHIVES||19241
2|16|DISTRICT ARCHIVES|Archives|19241
1|17|CULTURAL MATTER||10852
2|17|CULTURAL MATTER|Cultural Matters|10852
1|18|TRANSPORT SERVICES||3742847
2|18|TRANSPORT SERVICES|Roads Transport|3742847
2|18|TRANSPORT SERVICES|BUDGET INCREMENT|20094826
