indicator_code|indicator|target_2025
01|Number of school desks procured|600
01|Number of maternity annexes constructed|2
01|Kilometres of township roads rehabilitated|50
01|Number of * classroom blocks completed|3
01|Number of boreholes drilled|3
01|Number of youth women and community groups empowered with grants|160
01|Number of youthyomen and community groups empowered with loans|100
01|Number of CDF projects monitored|2
02|Number of CDF pojects appraised|2
01|Numberof secondary school boarding beneficiaries sponsored|1000
01|Number of skills development bursary beneficiaries sponsored|360
