line_id|source|amount_2025_zmw
|GRZ - CDF Grant|18684678
|GRZ - CDF Grant|2491290
|GRZ - CDF Grant|1522925
|GRZ - CDF Grant|6228226
|GRZ - LGEF Grant|1317940
|GRZ - LGEF Grant|177989
|GRZ - LGEF Grant|585413
|GRZ - LGEF Grant|94780
|GRZ - LGEF Grant|3949368
|GRZ - LGEF Grant|915305
|GRZ - LGEF Grant|1439
|GRZ - LGEF Grant|404780
|GRZ - LGEF Grant|11350
|GRZ - LGEF Grant|2613
|GRZ - LGEF Grant|4948815
|GRZ - LGEF Local R|56269
|GRZ - LGEF Grant|1109854
|GRZ - LGEF Grant|402327
|GRZ - LGEF Grant|313432
|GRZ - LGEF Grant|757487
|GRZ - LGEF Grant|12570771
|GRZ Grant|9850
|GRZ - Other Grant|50000
